Food_items,Breakfast,Lunch,Dinner,Diet,Sugar,BP,Cuisine,Calories,Fats(gm),Proteins(g),Iron(mg),Calcium(mg),Sodium(mg),Potassium(mg),Carbohydrates(gm),Fibre(gm),Vitamin D(mcg),Sugars(gm),TranslatedIngredients,TranslatedInstructions,,URL
Kheer Puli Pitha | Bengali Pitha Recipe,0,1,1,Vegetarian,0,1,Bengali Recipes,164,1.3,7.8,0.93,25.38,19.2,273.6,30.8,3.6,0,1.1,"1 liter Milk,200 grams Palm jaggery - crushed,1-1/2 teaspoons Cardamom Powder (Elaichi),100 grams Rice flour,1 cup Hot water,2 tablespoons Ghee,1 cup Fresh coconut - grated,1 pinch Salt,1 tablespoon Cashew nuts - chopped (optional)","For making Kheer Puli Pitha  Bengali Pitha Recipe, gather all the ingredients handy.Instruction for Making PuliSift rice flour, add a pinch of salt, ghee and hot water and knead to make a soft and supple dough. Keep it covered with a clean kitchen towel.Heat a non-stick pan, add in crushed palm jaggery and allow jaggery to melt on medium heat. Keep stirring to avoid charring.Once melted, add grated coconut, chopped cashews and halfa teaspoon of cardamom powder. Mix well. Keep stirring for a few minutes until well-mixed. Keep aside to coolInch out a lemon sized ball from the prepared dough and flatten between your palm and fingers to make a flat disk. Scoop a tsp of cooled jaggery-coconut filling and place in between the disk.Fold the dough from one end and cover it up completely till all the filling is secured in. This should take a crescent shape now. Press between fingers gently to close openings in the dumpling if any. Fold in the protruded edge inwards to secure the folds further. These folded edges appear like braids.Repeat the process till all the dough is done and keep aside all Puli.Instruction for Making Kheer/ Dudh PuliBoil milk in a thick bottomed pan at medium flame to reduce it to half.Add 1 teaspoon of cardamom powder and crushed palm jaggery(optional). Now here you have to add jaggery as per your choice, if you want the dudh kheer to be mild, then add very little jaggery, else more.Drop in the handmade puli, one by one carefully into the pan while the milk boils.After adding all the pulis in milk, reduce the flame and allow them to cook with milk for about 10-15 minutes.Keep checking the pulisduring regular intervals and make sure you boil them along until they get properly cooked.Turn off the flame and allow Kheer Puli Pitha  Bengali Pitha Recipe to cool.Serve this creamy jaggery flavoured milk and puli either warm or you may refrigerate it before serving.",,https://www.archanaskitchen.com/kheer-puli-pitha-bengali-pitha-recipe
Chilled Spinach And Cucumber Soup Recipe,0,0,1,Vegetarian,1,1,Continental,93,3,2.2,0.5,14.7,2.7,28.3,14.1,0.1,0,5.6,"Spinach Leaves (Palak) - a bunch,1 Cucumber - peeled and chopped,1 Carrot (Gajjar) - peeled and chopped,1 clove Garlic,1/2 inch Ginger - chopped,1 Green Chilli,1 Onion - chopped,1/4 teaspoon Paprika powder,2 tablespoon Curd (Dahi / Yogurt),1 tablespoon Balsamic Vinegar,1 teaspoon Extra Virgin Olive Oil,2 tablespoons Pine nuts - peeled","To prepare the Chilled Spinach and Cucumber Soup, first clean and wash the spinach leaves. Roughly chop them and keep aside.Bring 2 cups of water and some salt to a boil in a saucepan. Keep a bowl of iced water ready on the side.Blanch the spinach leaves by adding it to the boiling water for 2 minutes.Drain it and plunge it into the bowl of iced water for another 2 minutes to stop it from cooking.Add the remaining chopped vegetables in the blender.Drain the spinach in a colander, reserving a little of the iced water to use while blending the vegetables.Add the drained spinach leaves and about 1/2 cup of the iced water to the blender and blend until smooth.Once smooth, add the yogurt, the balsamic vinegar, paprika, pepper and blend once again. Taste and season with salt and pepper accordingly. Adjust the consistency of the soup by adding little water.Transfer to a bowl/container and cover with cling film before placing in the refrigerator to chill for an hour.While the soup is chilling, dry roast some pine nuts in a skillet over low heat until they are lightly browned, about 4-5 minutes.Serve Chilled Spinach and Cucumber Soup sprinkle with toasted pine nuts and olive oil.",,https://www.archanaskitchen.com/chilled-spinach-and-cucumber-soup-recipe
Thandai Mousse Recipe,0,1,1,Vegetarian,0,1,North Indian Recipes,340,4.4,11.5,0.66,29.14,23,323,67.2,10.5,0,15.8,"2 tablespoons Thandai Masala,2 teaspoon Agar agar - (china grass),1 cup Milk - room temperature,2 tablespoon Sugar - to taste,1 cup Heavy whipping cream,Lemon juice - from half a lemon,1 tablespoon Pistachios - chopped","To prepare Thandai Mousse,cut china grass sheet into small pieces and blend in the mixer to get a coarse powder. Transfer to a bowl and keep aside.For whipping the cream, transfer the cream to a large bowl. Using an electric hand blender at medium speed whip the cream till soft peaks are formed. Keep the bowl of whipped cream in the fridge while you prepare the thandaiflavored mixture. In a small pan add milk, china grass and 1/2 cup of water. Heat pan over medium heat while stirring continuously the ingredients in the pan. Bring the mixture to the boil once, reduce the flame to low. Once pieces of china grass start dissolving in the liquid, add sugar. Stir to evenly combine.Now add the thandai masala, stir the mixture with a spoon continuously. Bring the mixture to boil once and then let it simmer over medium heat for few minutes or till it start thickening.Once liquid start thickening, turn off the heat. Arrange a metal strainer over a large bowl. Strain the hot mixture into the bowl. You will notice all the undissolved pieces of china grass remain in the sieve.Transfer the strained mixture into a steel bowl and place the bowl in a deep vessel filled with ice cubes for 8 to 10 minutes or until the mixture cools down. Whisk the mixture vigorously and continuously till it is in ice-cube vessel to avoid any lump formation.Add the beaten whipped cream and fold gently.Add the lemon juice and fold gently.Now gently fold in the whipped cream into the thandai flavored mixture. Once the whipped cream and the liquid is evenly combined, add the lemon juice. Stir gently once to combine the lemon juice.Transfer equal portions of mousse into the serving bowls. Refrigerate the mousse for about 6 hours or overnight to have it set perfectly.Garnish Thandai Mousse withchopped pistachio before serving.Serve Thandai Mousse as a dessert along with a quick snack ofCorn Matar Kachorithis festive season.",,http://www.archanaskitchen.com/thandai-mousse-recipe
Kesar Pista Mango Ice Cream Recipe,0,1,1,Vegetarian,0,1,Fusion,358,26.5,6.3,2.1,29,8.2,254.8,9.5,1.1,0,18.6,"2 Mango (Ripe),500 ml Milk,100 ml Heavy whipping cream,2 teaspoon Vanilla Extract,Water - as required,2 tablespoons Pistachios - slivered,4 Saffron strands,1 tablespoon Honey - or date syrup","To begin making the Kesar Pista Mango Ice cream Recipe, we will first make the mango puree. Remove the skin of the mangoes and all the pulp in a blender and blend to make a smooth puree, keep aside.Heat milk and heavy cream in a heavy bottom pan along with vanilla pods and saffron and bring them to a boil and let it cool completely.After the milk mixture is cooled add in the mango pulp and honey to the liquid milk and cream , mix well to combine.Blend the mix in a blenderto make the ice cream smooth and silky in texture.Add pistachios to the kesar mango ice cream and pour the mixture into an airtight container.Freeze the ice cream for 8 to 10 hours. Kesar Mango Pistachio ice cream is ready to be served.Serve the Kesar Mango Pistachio ice cream for your dessert along withCinnamon Sugar Focaccia BreadandCheesy Baked Spaghetti Pasta Recipe In Tomato Basil Sauce.",,http://www.archanaskitchen.com/kesar-pista-mango-icecream-recipe
Kothu Kari Kuzhambu Recipe - Mutton Keema Curry,0,1,1,Non Vegeterian,1,0,Tamil Nadu,215.6,6.8,5,1.81,34.8,135.2,421.2,35.7,5.6,0,0.6,"300 grams Mutton Kheema,1 tablespoon Sunflower Oil,1 Bay leaf (tej patta),2 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),2 Cardamom (Elaichi) Pods/Seeds,1 Star anise,2 Dagad phool (/pathar phool/black stone flower),1 tablespoon Ginger - finely chopped,1 tablespoon Garlic - finely chopped,1 Green Chilli - finely chopped,2 Onions - finely chopped,2 Tomatoes - finely chopped,1 teaspoon Red Chilli powder,1 teaspoon Garam masala powder,1/2 teaspoon Turmeric powder (Haldi),2 teaspoons Coriander Powder (Dhania),1 teaspoon Black pepper powder,1/4 cup Coriander (Dhania) Leaves,1/4 Mint Leaves (Pudina),Salt - to taste","To begin making theKothu Kari Kuzhambu Recipe/ Mutton Keema Curry, in a pressure cooker, heat oil on medium flame.Once the oil is hot, add in all the whole spices -bay leaf, cloves,cinnamon,cardamoms,star anise,stone flower petals and allow it to sizzle.To this add the ginger, garlic and green chilli. Next add in the onions and cook until transparent.Once the onions are well cooked, add in the tomatoes and cook until mushy.Once the onion-tomato mix has come together, add in the spices -red chilli powder,garam masala powder,turmeric powder,coriander powder,pepper powder,coriander leaves,mint leaves, mutton keema and salt to taste.Mix well and close the pressure cooker. Pressure cook the Kothu Kari Kuzhambu for 2 whistles and turn off the flame.Allow the pressure to release naturally, then open the cooker. Check the salt and seasonings and adjust according to taste. Transfer theKothu Kari Kuzhambu to a serving bowl and serve hot.ServeKothu Kari Kuzhambu along withSteamed Riceor eat it along withGhee Roast Dosa Recipe - Crispy Paper Dosa Recipefor a simple yet delicious meal.",,https://www.archanaskitchen.com/kothu-kari-kuzhambu-recipe-mutton-keema-curry
Gujarati Kadhi With Milk And Mint Recipe,0,0,1,Vegetarian,1,1,Gujarati Recipes?,222,4.2,14,5.76,32.93,431,713,34,13,0,4.5,"1 cup Curd (Dahi / Yogurt) - mildly soured,2 cups Water,2 tablespoons Gram flour (besan),1/4 cup Milk,1 tablespoon Fresh cream - (clotted cream) or sour cream,1 teaspoon Green Chilli - minced,1 teaspoon Ginger - minced,2 teaspoons Sugar - adjustable,2 teaspoons Ghee,1/2 teaspoon Methi Seeds (Fenugreek Seeds),1 teaspoon Cumin seeds (Jeera),2 Dry Red Chillies - whole,2 Cloves (Laung),1 inch Cinnamon Stick (Dalchini),1 sprig Curry leaves,1 sprig Mint Leaves (Pudina),Asafoetida (hing) - a pinch","To begin making the Gujarati Kadhi With Milk And Mintrecipe, in a bowl whisk together the yogurt, sour cream/clotted cream and chickpea flour.Whisk until it turns into a smooth and lump free mixture. Add a little water and mix well.Transfer this yogurt mix to a heavy bottom saucepan and place the saucepan on medium flame.Add sugar, salt, ginger, green chillies and bring the mixture to a boil.The chickpea flour has a tendency to settle at the bottom so keep the flame gentle and continue to stir continuously.In another small wok/kadhai prepare the tempering. Place this wok on slow flame, add ghee.To the ghee, add cumin seeds, red chilies, cinnamon, cloves, asafoetida and curry leaves.Once the cumin seeds starts spluttering, add the tempering to the boiling kadhi. Add the mint leaves and the milk. After 8-9 minutes of gentle boiling turn off the flame. Just before serving add the chopped coriander.Serve Gujarati Kadhi With Milk And Mint along withGujarati UndhiyuandMethi Theplafor a weekday lunch or dinner.",,http://www.archanaskitchen.com/gujarati-kadhi-with-milk-mint-recipe
Cheese Garlic Crack Bread Recipe,1,0,0,Vegetarian,1,0,Continental,102,5.4,2.4,0.6,71.8,59.9,141.6,9.6,1.5,0,4.5,"3 Burger buns - mini,3 tablespoons Veeba Pasta sauce,1/2 cup Mozzarella cheese,3 tablespoons Salted butter,1 tablespoon Extra Virgin Olive Oil,2 tablespoons Garlic - finely chopped,2 teaspoons Mixed Herbs (Dried),1 tablespoon Coriander (Dhania) Leaves","To start making the Cheese Garlic Cracked Bread Recipe, preheat the oven to 200 degree celsius.We need to now cut the burger buns to give a cracked effect.To do that, we need to use a serrated bread knife, make 1 inch diagonal cuts across the burger buns making sure you dont cut the bread all the way through.First cut straight standing lines and the cut straight sleeping lines almost until the end, making sure to dont cut it fully.In a tadka pan , heat the butter and olive on medium heat, add the chopped garlic and fry until it gets a light golden colour. Once it gets the desired colour, turn off the flame, add the mixed herbs and the fresh coriander leaves. Allow it to cool.Next use a spoon to drizzle the garlic butter into the the cuts of the buns, and lightly spread a little veeba pasta pizza sauce in the cuts.Finally, stuff grated cheese in the cuts and arrange on a baking tray.Bake these buns in a preheated oven at 200 degree celsius for 7-10 minutes, till the bread gets crispy and a light brown colour on the top.Remove from the oven , brush the top with the leftover garlic butter and serve hot.You can also serveCheese Garlic Cracked Bread Recipealong withSpinach Tomato Soup Italian Style RecipeandGrilled Pineapple And Chicken Salad Recipefor a light meal.",,https://www.archanaskitchen.com/cheese-garlic-cracked-bread-recipe
Pina Colada Recipe - Pi�a Colada Recipe,0,1,1,Vegetarian,0,1,Caribbean,138.7,1.2,4.6,1.81,162.75,106.9,218.2,29.4,7.1,0,4,"Ice - 1/2 cup pineapple - peel and chop, 1 cup coconut milk, 2 tablespoons sugar, 30 mL white Bacardi rum - optional, 10 pistachios - chopped, as per the experiment","To make the Peena Colada recipe, firstly put pineapple, ice, coconut milk, sugar and white Bacardi rum in a blender and blend it well. Remove in a glass and garnish with pistachios and pineapples. Serve. With Pina Colada recipe you can serve Aloo Paneer Kebab Recipe and house parties with spicy potatoes.",,https://www.archanaskitchen.com/pina-colada-recipe-pineapple-with-coconut-milk-mocktail-in-hindi
Sattu's Salted Sorbet Recipe,0,1,1,Vegetarian,1,0,North Indian Recipes,56.1,2.7,3.9,1.02,47.46,25.7,407.8,6.6,3.2,6.5,0.7,"3-1/2 tablespoons Roasted Gram Flour (Sattu Ka Atta),4 Mint Leaves (Pudina) - finely chopped,2 tablespoons Coriander (Dhania) Leaves - finely chopped,1 Green Chilli - finely chopped,1 tablespoon Lemon juice,1/2 teaspoon Cumin powder (Jeera),1/2 teaspoon Black Salt (Kala Namak),3 cups Chilled water,Salt - to taste","To begin making the Sattu Ka Namkeen Sharbat Recipe, get all the ingredients handy.In a bowl, add the sattu flour. To this, add rest of the ingredients including pudina leaves, coriander leaves, green chilli, lemon juice, roasted cumin powder, black salt, and mix well after adding cold or chilled water.Stir until the drink is uniform and without any lumps. You can do this with a spoon or use a handheld buttermilk churner/whisk.Pour it into the tall glasses and serve.Serve theSattu Ka Namkeen Sharbat Recipe in summers along withGujarati Khandvi Recipefor a traditionalafter school snack for the kidsor alongsideOranges With Cottage Cheese Recipe,or to your guests as a refreshing welcome drink.",,https://www.archanaskitchen.com/sattu-ka-namkeen-sharbat-recipe
Sago Kheer Recipe - Tapioca Milk Pudding,0,1,1,Vegetarian,0,1,Indian,232.2,18.7,9.8,4.96,148.2,177.3,171.8,8,3.6,0,15,"2 cups Milk,1 cup Sabudana (Tapioca Pearls) - also called sago,Sugar - as required,1/2 teaspoon Cardamom Powder (Elaichi),6 Saffron strands,4 Cashew nuts - roughly broken,4 Raisins - optional","To begin making the Sago Kheer Recipe, firstly wash sago pearls under running water, strain and keep aside.In a large bowl, add 2 cups of water and soak sago pearls for minimum 1 hour or till they bloom completely.Heat milk in heavy bottomed pan, till it starts to boil. Simmer the gas flame and add saffron, cardamom powder. Let it cook till milk starts to thicken.Once the milk is pale yellow in colour and starts reducing from sides, add soaked sago pearls and cook for 5 to 6 minutes on low heat.You will notice the sago pearls turning transparent and light.Add sugar and stir nicely till sugar dissolves.Next, add chopped cashews and cook the kheer for another 10 minutes till it gets creamy in texture.Turn off the gas and add raisins by your choice. Do not add raisins before as it may split the milk and spoil your preparation. Serve hot/warm/chilled, as per your preference.ServeSago Kheer Recipeas a dessert after your delicious meal ofPalak Makhana,Punjabi Dal Tadka,Garlic NaanandJeera Rice.",,https://www.archanaskitchen.com/sago-kheer-recipe-tapioca-milk-pudding
